2024-04-18 11:38:36 | INFO  | [restartedMain] | boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting CreditCardAppApplication using Java 17.0.9 with PID 34164 (C:\Users\mpaci\OneDrive\Work\FDM\Week12_APM\credit-o-cube\target\classes started by mpaci in C:\Users\mpaci\OneDrive\Work\FDM\Week12_APM\credit-o-cube)
2024-04-18 11:38:36 | DEBUG | [restartedMain] | boot.StartupInfoLogger (StartupInfoLogger.java:51) - Running with Spring Boot v3.2.4, Spring v6.1.5
2024-04-18 11:38:36 | INFO  | [restartedMain] | boot.SpringApplication (SpringApplication.java:654) - No active profile set, falling back to 1 default profile: "default"
2024-04-18 11:38:36 | INFO  | [restartedMain] | config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:139) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-18 11:38:36 | INFO  | [restartedMain] | config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:208) - Finished Spring Data repository scanning in 14 ms. Found 3 JPA repository interfaces.
2024-04-18 11:38:36 | INFO  | [restartedMain] | tomcat.TomcatWebServer (TomcatWebServer.java:109) - Tomcat initialized with port 8080 (http)
2024-04-18 11:38:36 | INFO  | [restartedMain] | logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-18 11:38:36 | INFO  | [restartedMain] | logging.DirectJDKLog (DirectJDKLog.java:173) - Starting service [Tomcat]
2024-04-18 11:38:36 | INFO  | [restartedMain] | logging.DirectJDKLog (DirectJDKLog.java:173) - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-18 11:38:37 | INFO  | [restartedMain] | logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing Spring embedded WebApplicationContext
2024-04-18 11:38:37 | INFO  | [restartedMain] | context.ServletWebServerApplicationContext (ServletWebServerApplicationContext.java:296) - Root WebApplicationContext: initialization completed in 345 ms
2024-04-18 11:38:37 | INFO  | [restartedMain] | util.LogHelper (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-18 11:38:37 | INFO  | [restartedMain] | internal.RegionFactoryInitiator (RegionFactoryInitiator.java:50) - HHH000026: Second-level cache disabled
2024-04-18 11:38:37 | INFO  | [restartedMain] | persistenceunit.SpringPersistenceUnitInfo (SpringPersistenceUnitInfo.java:87) - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-18 11:38:37 | INFO  | [restartedMain] | hikari.HikariDataSource (HikariDataSource.java:110) - HikariPool-5 - Starting...
2024-04-18 11:38:37 | INFO  | [restartedMain] | pool.HikariPool (HikariPool.java:565) - HikariPool-5 - Added connection com.mysql.cj.jdbc.ConnectionImpl@44675ec9
2024-04-18 11:38:37 | INFO  | [restartedMain] | hikari.HikariDataSource (HikariDataSource.java:123) - HikariPool-5 - Start completed.
2024-04-18 11:38:37 | WARN  | [restartedMain] | internal.DialectFactoryImpl (DialectFactoryImpl.java:153) - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-04-18 11:38:37 | INFO  | [restartedMain] | internal.JtaPlatformInitiator (JtaPlatformInitiator.java:58) - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-18 11:38:37 | INFO  | [restartedMain] | jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-18 11:38:37 | WARN  | [restartedMain] | jpa.JpaBaseConfiguration$JpaWebConfiguration (JpaBaseConfiguration.java:232) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-18 11:38:37 | INFO  | [restartedMain] | web.DefaultSecurityFilterChain (DefaultSecurityFilterChain.java:54) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7bab1ae8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@74c6afd1, org.springframework.security.web.context.SecurityContextHolderFilter@19c9cf29, org.springframework.security.web.header.HeaderWriterFilter@576e52c0, org.springframework.web.filter.CorsFilter@5ead781d, org.springframework.security.web.csrf.CsrfFilter@56cab1a2, org.springframework.security.web.authentication.logout.LogoutFilter@4f081ed4, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@745a5409, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1a8d2a13, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3db29743, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@78f195dd, org.springframework.security.web.access.ExceptionTranslationFilter@6f691e27, org.springframework.security.web.access.intercept.AuthorizationFilter@1587f8cc]
2024-04-18 11:38:37 | INFO  | [restartedMain] | autoconfigure.OptionalLiveReloadServer (OptionalLiveReloadServer.java:59) - LiveReload server is running on port 35729
2024-04-18 11:38:37 | INFO  | [restartedMain] | logging.DirectJDKLog (DirectJDKLog.java:173) - Starting ProtocolHandler ["http-nio-8080"]
2024-04-18 11:38:37 | INFO  | [restartedMain] | tomcat.TomcatWebServer (TomcatWebServer.java:241) - Tomcat started on port 8080 (http) with context path ''
2024-04-18 11:38:37 | INFO  | [restartedMain] | boot.StartupInfoLogger (StartupInfoLogger.java:56) - Started CreditCardAppApplication in 0.789 seconds (process running for 779.259)
2024-04-18 11:38:37 | INFO  | [restartedMain] | autoconfigure.ConditionEvaluationDeltaLoggingListener (ConditionEvaluationDeltaLoggingListener.java:63) - Condition evaluation unchanged
2024-04-18 11:38:49 | INFO  | [http-nio-8080-exec-2] | logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-18 11:38:49 | INFO  | [http-nio-8080-exec-2] | servlet.FrameworkServlet (FrameworkServlet.java:532) - Initializing Servlet 'dispatcherServlet'
2024-04-18 11:38:49 | INFO  | [http-nio-8080-exec-2] | servlet.FrameworkServlet (FrameworkServlet.java:554) - Completed initialization in 1 ms
